case_study,controller,seed,mean_tracking_error_m,max_tracking_error_m,rmse_m,formation_error_rel,connectivity_rate,throughput_ratio,control_overhead,control_effort,control_smoothness,task_completion_proxy,system_utility,alive_ratio,steady_state_error_m,error_variance,pre_fault_error_m,fault_window_error_m,post_fault_error_m,peak_fault_error_m,connectivity_pre,connectivity_fault,connectivity_post,control_effort_pre,control_effort_fault,control_effort_post,control_smoothness_pre,control_smoothness_fault,control_smoothness_post,post_vs_pre_error_degradation_pct,connectivity_retention_pct,recovery_time_s
case_study_1,agentic,5,17.45712427644393,62.23941072909288,19.313631741112115,9.667836138349054,0.5749053030303031,0.4445308009900343,0.3609217171717171,865078507.8966514,10836.301179140411,0.001893939393939394,-24.25043389964147,1.0,27.274578644955334,68.26518302808533,,,,,,,,,,,,,,,,
case_study_1,agentic,6,33.45506756424148,86.27592424086279,38.62708438703953,12.099641113667484,0.48740530303030305,0.34291553481797515,0.2708964646464646,899065645.0944368,11498.977715774947,0.005113636363636364,-43.117682162757454,1.0,59.18879363136435,372.8101025155107,,,,,,,,,,,,,,,,
case_study_1,agentic,7,38.85888810982831,86.74927527179575,42.095753995612405,14.394867913468971,0.531060606060606,0.2670627465531191,0.2785984848484848,896181409.5619078,11063.854336920447,0.0,-50.59845299299425,1.0,54.81348656168199,262.03931932696213,,,,,,,,,,,,,,,,
case_study_1,agentic,8,33.4972748422847,78.08791960231937,35.79784478473069,16.351372607681405,0.35767045454545454,0.2342237167442122,0.15271464646464644,895055700.1938392,11158.88153808979,0.00634469696969697,-48.060295177238835,1.0,40.502130670542094,159.41826937211113,,,,,,,,,,,,,,,,
case_study_1,agentic,9,33.59177716019236,98.13599530910535,37.780063596599554,24.910457000256788,0.47859848484848483,0.19223017709600318,0.18282828282828278,896176962.1266735,10727.773177551268,0.007386363636363636,-56.10924173620671,1.0,52.85990317873862,298.92571258308635,,,,,,,,,,,,,,,,
case_study_1,agentic,10,22.577722574880262,81.82266465032893,24.4965554492392,16.811589701065696,0.4258522727272727,0.11114475664276743,0.18876262626262624,900282272.1422039,10829.1601884251,0.00946969696969697,-37.260050912309595,1.0,35.4386933007837,90.32767220939311,,,,,,,,,,,,,,,,
case_study_3,openloop,1,41.132405030177175,146.99733234705832,44.17641876330024,25.235219632325588,0.13229166666666667,0.03294975986909389,0.06018518518518517,1084213961.1207058,11046.059289851646,0.0,-65.70616632916942,1.0,56.20679887093025,259.68123118392185,62.63948727343427,46.296929017789715,39.36965820702596,88.7535629958813,0.31666666666666665,0.0,0.051041666666666666,1128058737.5506728,1104853118.771095,1056250775.0006449,11160.009294475192,12037.0641926582,11008.924063900702,-37.148817909110136,16.11842105263158,
case_study_3,openloop,2,26.51455561092384,81.74135457145995,28.22289095219635,15.082165363925894,0.35164930555555557,0.15688245302364376,0.15283564814814812,1091343249.8455372,11673.762596207505,0.0019097222222222222,-39.83847444707195,1.0,36.83360465116026,93.50991445479386,28.758634691047465,24.272223565955656,34.51679729174732,48.699397453242646,0.34375,0.14375,0.39375,1106490581.1736891,1135193701.7219665,1099368268.4854734,11395.844469966389,11232.332110917696,12069.512410984042,20.0223781920091,114.54545454545455,
case_study_3,openloop,3,63.88317268938105,620.3464902499321,82.7970849653228,59.12334006601912,0.2903645833333333,0.1673611111111111,0.14432870370370365,1096659890.4079812,11217.193576303214,0.0012152777777777778,-121.5546898387335,1.0,145.96714836505245,2774.2975258936017,32.99518787873532,36.560218862925794,70.92308412190056,91.49595446608846,0.3020833333333333,0.029166666666666667,0.0,1074044415.5851855,1059791727.9468601,1082190779.7560043,11911.789531332157,10768.46890603541,11045.4363570761,114.94978110916875,0.0,
case_study_3,openloop,4,58.94833818568006,222.2577131748367,72.77761999784265,23.21745593708533,0.2907986111111111,0.11123021500984398,0.12187499999999998,1076517642.4886212,11440.411513405854,0.0011284722222222221,-80.71180106720983,1.0,122.32366844473836,1821.6753976970797,48.041404700280964,46.46721374438992,70.52810663418768,82.59431986763765,0.37916666666666665,0.13541666666666666,0.06770833333333333,1103296087.9215431,1031363367.2244693,1094825702.2368507,13215.580644010186,10758.945175072407,11374.35517459672,46.80692014356359,17.857142857142858,
