t_s,active_faults,dropout_agent_id,sensor_bad_agent_id,comm_scale
34.875,comm_degrade,,,0.35
34.895833333333336,comm_degrade,,,0.35
34.916666666666664,comm_degrade,,,0.35
34.9375,comm_degrade,,,0.35
34.958333333333336,comm_degrade,,,0.35
34.979166666666664,comm_degrade,,,0.35
35.0,comm_degrade,,,0.35
35.020833333333336,comm_degrade,,,0.35
35.041666666666664,comm_degrade,,,0.35
35.0625,comm_degrade,,,0.35
35.083333333333336,comm_degrade,,,0.35
35.104166666666664,comm_degrade,,,0.35
35.125,comm_degrade,,,0.35
35.145833333333336,comm_degrade,,,0.35
35.166666666666664,comm_degrade,,,0.35
35.1875,comm_degrade,,,0.35
35.208333333333336,comm_degrade,,,0.35
35.229166666666664,comm_degrade,,,0.35
35.25,comm_degrade,,,0.35
35.270833333333336,comm_degrade,,,0.35
35.291666666666664,comm_degrade,,,0.35
35.3125,comm_degrade,,,0.35
35.333333333333336,comm_degrade,,,0.35
35.354166666666664,comm_degrade,,,0.35
35.375,comm_degrade,,,0.35
35.395833333333336,comm_degrade,,,0.35
35.416666666666664,comm_degrade,,,0.35
35.4375,comm_degrade,,,0.35
35.458333333333336,comm_degrade,,,0.35
35.479166666666664,comm_degrade,,,0.35
35.5,comm_degrade,,,0.35
35.520833333333336,comm_degrade,,,0.35
35.541666666666664,comm_degrade,,,0.35
35.5625,comm_degrade,,,0.35
35.583333333333336,comm_degrade,,,0.35
35.604166666666664,comm_degrade,,,0.35
35.625,comm_degrade,,,0.35
35.645833333333336,comm_degrade,,,0.35
35.666666666666664,comm_degrade,,,0.35
35.6875,comm_degrade,,,0.35
35.708333333333336,comm_degrade,,,0.35
35.729166666666664,comm_degrade,,,0.35
35.75,comm_degrade,,,0.35
35.770833333333336,comm_degrade,,,0.35
35.791666666666664,comm_degrade,,,0.35
35.8125,comm_degrade,,,0.35
35.833333333333336,comm_degrade,,,0.35
35.854166666666664,comm_degrade,,,0.35
35.875,comm_degrade,,,0.35
35.895833333333336,comm_degrade,,,0.35
35.916666666666664,comm_degrade,,,0.35
35.9375,comm_degrade,,,0.35
35.958333333333336,comm_degrade,,,0.35
35.979166666666664,comm_degrade,,,0.35
36.0,comm_degrade,,,0.35
36.020833333333336,comm_degrade,,,0.35
36.041666666666664,comm_degrade,,,0.35
36.0625,comm_degrade,,,0.35
36.083333333333336,comm_degrade,,,0.35
36.104166666666664,comm_degrade,,,0.35
36.125,comm_degrade,,,0.35
36.145833333333336,comm_degrade,,,0.35
36.166666666666664,comm_degrade,,,0.35
36.1875,comm_degrade,,,0.35
36.208333333333336,comm_degrade,,,0.35
36.229166666666664,comm_degrade,,,0.35
36.25,comm_degrade,,,0.35
36.270833333333336,comm_degrade,,,0.35
36.291666666666664,comm_degrade,,,0.35
36.3125,comm_degrade,,,0.35
36.333333333333336,comm_degrade,,,0.35
36.354166666666664,comm_degrade,,,0.35
36.375,comm_degrade,,,0.35
36.395833333333336,comm_degrade,,,0.35
36.416666666666664,comm_degrade,,,0.35
36.4375,comm_degrade,,,0.35
36.458333333333336,comm_degrade,,,0.35
36.479166666666664,comm_degrade,,,0.35
36.5,comm_degrade,,,0.35
36.520833333333336,comm_degrade,,,0.35
36.541666666666664,comm_degrade,,,0.35
36.5625,comm_degrade,,,0.35
36.583333333333336,comm_degrade,,,0.35
36.604166666666664,comm_degrade,,,0.35
36.625,comm_degrade,,,0.35
36.645833333333336,comm_degrade,,,0.35
36.666666666666664,comm_degrade,,,0.35
36.6875,comm_degrade,,,0.35
36.708333333333336,comm_degrade,,,0.35
36.729166666666664,comm_degrade,,,0.35
36.75,comm_degrade,,,0.35
36.770833333333336,comm_degrade,,,0.35
36.791666666666664,comm_degrade,,,0.35
36.8125,comm_degrade,,,0.35
36.833333333333336,comm_degrade,,,0.35
36.854166666666664,comm_degrade,,,0.35
36.875,comm_degrade,,,0.35
36.895833333333336,comm_degrade,,,0.35
36.916666666666664,comm_degrade,,,0.35
36.9375,comm_degrade,,,0.35
36.958333333333336,comm_degrade,,,0.35
36.979166666666664,comm_degrade,,,0.35
37.0,comm_degrade,,,0.35
37.020833333333336,comm_degrade,,,0.35
37.041666666666664,comm_degrade,,,0.35
37.0625,comm_degrade,,,0.35
37.083333333333336,comm_degrade,,,0.35
37.104166666666664,comm_degrade,,,0.35
37.125,comm_degrade,,,0.35
37.145833333333336,comm_degrade,,,0.35
37.166666666666664,comm_degrade,,,0.35
37.1875,comm_degrade,,,0.35
37.208333333333336,comm_degrade,,,0.35
37.229166666666664,comm_degrade,,,0.35
37.25,comm_degrade,,,0.35
37.270833333333336,comm_degrade,,,0.35
37.291666666666664,comm_degrade,,,0.35
37.3125,comm_degrade,,,0.35
37.333333333333336,comm_degrade,,,0.35
37.354166666666664,comm_degrade,,,0.35
37.375,comm_degrade,,,0.35
37.395833333333336,comm_degrade,,,0.35
37.416666666666664,comm_degrade,,,0.35
37.4375,comm_degrade,,,0.35
37.458333333333336,comm_degrade,,,0.35
37.479166666666664,comm_degrade,,,0.35
37.5,comm_degrade,,,0.35
37.520833333333336,comm_degrade,,,0.35
37.541666666666664,comm_degrade,,,0.35
37.5625,comm_degrade,,,0.35
37.583333333333336,comm_degrade,,,0.35
37.604166666666664,comm_degrade,,,0.35
37.625,comm_degrade,,,0.35
37.645833333333336,comm_degrade,,,0.35
37.666666666666664,comm_degrade,,,0.35
37.6875,comm_degrade,,,0.35
37.708333333333336,comm_degrade,,,0.35
37.729166666666664,comm_degrade,,,0.35
37.75,comm_degrade,,,0.35
37.770833333333336,comm_degrade,,,0.35
37.791666666666664,comm_degrade,,,0.35
37.8125,comm_degrade,,,0.35
37.833333333333336,comm_degrade,,,0.35
37.854166666666664,comm_degrade,,,0.35
37.875,comm_degrade,,,0.35
37.895833333333336,comm_degrade,,,0.35
37.916666666666664,comm_degrade,,,0.35
37.9375,comm_degrade,,,0.35
37.958333333333336,comm_degrade,,,0.35
37.979166666666664,comm_degrade,,,0.35
38.0,,,,1.0
38.020833333333336,,,,1.0
38.041666666666664,,,,1.0
38.0625,,,,1.0
38.083333333333336,,,,1.0
38.104166666666664,,,,1.0
38.125,,,,1.0
38.145833333333336,,,,1.0
38.166666666666664,,,,1.0
38.1875,,,,1.0
38.208333333333336,,,,1.0
38.229166666666664,,,,1.0
38.25,,,,1.0
38.270833333333336,,,,1.0
38.291666666666664,,,,1.0
38.3125,,,,1.0
38.333333333333336,,,,1.0
38.354166666666664,,,,1.0
38.375,,,,1.0
38.395833333333336,,,,1.0
38.416666666666664,,,,1.0
38.4375,,,,1.0
38.458333333333336,,,,1.0
38.479166666666664,,,,1.0
38.5,,,,1.0
38.520833333333336,,,,1.0
38.541666666666664,,,,1.0
38.5625,,,,1.0
38.583333333333336,,,,1.0
38.604166666666664,,,,1.0
38.625,,,,1.0
38.645833333333336,,,,1.0
38.666666666666664,,,,1.0
38.6875,,,,1.0
38.708333333333336,,,,1.0
38.729166666666664,,,,1.0
38.75,,,,1.0
38.770833333333336,,,,1.0
38.791666666666664,,,,1.0
38.8125,,,,1.0
38.833333333333336,,,,1.0
